@relation training_set

@attribute branch-load-misses numeric
@attribute branch-loads numeric
@attribute L1-dcache-load-misses numeric
@attribute branch-store-misses numeric
@attribute branch-stores numeric
@attribute dTLB-load-misses numeric
@attribute dTLB-loads numeric
@attribute iTLB-load-misses numeric
@attribute iTLB-loads numeric
@attribute L1-dcache-loads numeric
@attribute L1-dcache-store-misses numeric
@attribute L1-dcache-stores numeric
@attribute L1-icache-load-misses numeric
@attribute L1-icache-loads numeric
@attribute branch-misses numeric
@attribute bus-cycles numeric
@attribute cache-misses numeric
@attribute cache-references numeric
@attribute cpu-cycles numeric
@attribute instructions numeric
@attribute label {malware,benign}

@data
2828948,10804361,770858,1960212,13812214,817861,18486448,669490,159819505,18067896,750397,18067896,1563049,61609326,2806085,294183502,804129,18459389,274253629,65438968,malware
2803604,11662151,790524,2832563,11135898,1349709,19213579,741522,170407926,19270545,810253,19270545,1516575,63682383,2894126,302216355,861950,20183832,317566860,69268322,malware
2861008,11258221,780350,2626013,13197477,1184352,18998109,711771,169725400,17959039,747956,17959039,1641374,65817870,2994600,270989852,788576,18440789,283055733,65457158,malware
2764293,10577952,759003,2243300,12318940,981232,17943153,694708,163998240,18322273,771727,18322273,1515647,63009315,2858649,281620987,794350,18788554,257477659,65356999,malware
2892488,11100066,779389,2303687,12363221,1012256,18747038,698435,173542431,18276612,764202,18276612,1504537,63958517,2901772,271922541,795881,18806376,289256008,64851569,malware
2750238,10601773,739070,2123855,12825205,904133,21104031,779054,175109302,18091524,754443,18144185,1472333,62708377,2847313,283124654,801934,18713954,284719960,64807059,malware
2785346,10827759,742726,2421458,12208008,1065872,18837624,663128,156100089,17990940,749637,17973360,1501869,62826083,2848656,243615693,749896,19502269,278337815,65222486,malware
2652883,10910840,723897,1729637,14046845,678520,17803304,680143,162574628,17807245,737681,17772164,1480172,63404593,2872584,265511640,787675,18573417,270159595,64455597,malware
2618107,11437513,710939,2291483,12803178,1016400,17840542,684228,156362472,17923372,751166,17923372,1497212,63571060,2880116,260984030,753387,17908962,274430177,64930157,malware
2394860,11589302,685016,1924402,12899684,828831,17848813,682931,163503377,18043705,744378,18092826,1512639,62900728,2856262,292967386,796188,18668397,280914412,64631630,malware
2836132,10852256,752157,2376814,12272594,1058855,17924767,684361,166187161,17865391,742568,17816270,1486000,63367462,2869844,286132692,788482,18588625,275459830,64831760,malware
2758343,10631827,748457,2173591,12555938,945132,17953091,684321,166908528,17882091,744480,17910236,1494387,63472899,2873715,276326964,777058,18633827,282133188,64690691,malware
2789771,10664728,732652,1559890,14554200,595299,18513226,685976,172023033,17701398,727875,17673253,1500227,62888642,2851674,254334892,752951,17874490,261671458,64899384,malware
2738555,10560629,727230,2005447,12459549,872581,17818664,682341,161240271,18262209,745329,18262209,1609322,61763094,2824220,284205498,798224,18693690,274591309,64160174,malware
2830545,10830613,744767,1955645,13504795,805455,17694805,674208,166472374,17870581,749795,17870581,1472689,62593418,2835974,280049853,791107,18467337,283504639,64240453,malware
2682612,10477072,717179,1882767,13543235,750080,18079829,677153,167812615,18063119,744180,18063119,1507528,62965565,2852153,289106120,802890,18715493,274225964,64640685,malware
2829675,10993612,753977,1860031,13634304,777225,17943299,686300,168693314,17793424,731198,17793424,1504143,63118990,2862130,275478974,780285,18448806,271416526,64030832,malware
2672551,10586517,727378,2087494,12615282,929833,17934957,683166,163588013,18679551,715797,18721488,1485949,63150003,2862093,273593172,787133,18649247,271126172,64322307,malware
2837011,11098920,760485,2024462,13432805,836218,17915184,684268,167583949,18015047,744926,17981219,1468915,63166658,2864212,278360877,788131,18372275,265593757,64548654,malware
2745095,10479029,729255,1516465,14403646,554186,17851014,683523,165610297,17990937,741370,18012348,1468971,63016231,2853739,287023355,799031,18795744,264189091,64382566,malware
2705044,11123277,736681,2226014,13135971,1009088,17591305,674579,163355829,17680384,745811,17726114,1475690,63359629,2873022,279450739,787013,18256000,278273533,65176792,malware
2742698,10527106,736831,2421579,12114777,1111594,17842837,683926,168573422,18147490,747989,18072240,1444561,61952476,2803790,270861045,800022,18717327,281614100,64585733,malware
2804045,10885135,735508,2433691,12092529,1105248,17937585,685017,171415332,17755861,734480,17755861,1481746,63491016,2874674,271401648,779212,18258029,285109232,65092021,malware
2730115,10650316,731224,2475680,12125050,1157034,17912122,675604,158698474,18217133,753869,18217133,1479555,62467072,2828147,272263857,781205,18538483,271306816,64395662,malware
2779350,10648733,730606,1580673,14281936,616785,17959868,684729,170891873,17685173,725513,17685173,1505467,63747729,2890646,271314509,776604,18269274,266585016,63630940,malware
2746494,10607539,740101,2080196,12267594,927641,17968014,684265,171176886,18216103,750164,18216103,1525880,62309132,2829753,277954342,779141,18615255,271192782,64398482,malware
2824717,10829411,737612,2602095,11596446,1177854,17867152,682323,164792792,17922735,743223,17922735,1458486,62643918,2847387,280317142,779863,18318529,268418445,64913384,malware
2728512,10542105,715643,1740172,13606210,688560,17810095,683048,155712184,18226351,750865,18226351,1501866,63832520,2882749,269508104,781744,18560192,275248511,65343889,malware
2835807,10868007,751035,1575253,14302587,595000,17981779,684400,168822919,17816668,743138,17816668,1491086,61450478,2790655,271726057,782845,18354631,275150036,63944172,malware
2747940,10588442,739347,2183531,12677755,956240,17855843,682070,164928153,18059814,745778,18059814,1480400,63091972,2857887,262808720,792056,18607769,274772906,64393591,malware
2776909,10760756,740909,2018249,13350040,858635,17989302,665460,161155360,17440612,718595,17448598,1481778,63407513,2875594,257546969,772724,18219661,276320393,64747523,malware
2770942,10657307,750823,1829078,13491161,726506,17913173,688655,156374966,18253605,752743,18245619,1476543,63064720,2856591,271631359,785462,18423078,279339979,64769835,malware
2846401,10874255,756383,1914270,13969637,781583,17844850,683115,164975144,17841854,742079,17841854,1497659,63756496,2885307,265737021,775663,18275564,289755186,65190697,malware
2732482,10665480,734541,2191883,12320312,959530,17969176,689171,153781658,18186868,759746,18186868,1497982,62713675,2851929,257367729,788858,18600236,287103727,64827503,malware
2784704,10658072,732177,1996624,13504538,839563,17743179,682803,151697412,17932169,757048,17932169,1479379,63088947,2854032,273185538,786854,18374039,277952881,64915546,malware
2742343,10582842,739936,2394141,11577792,1109105,17595881,671341,161533705,18027775,743124,18027775,1496115,63394169,2871475,278195006,798111,18654359,279614597,64486873,malware
2832067,10957878,756392,2367334,12135187,1056742,18119311,692964,167143164,17816804,737280,17816804,1480488,63324390,2872684,261670305,768487,18439917,268649345,64739200,malware
2688666,10484915,722771,2072203,12662207,884353,17590011,677014,160099809,18106662,752778,18106662,1472507,63018836,2850117,279763587,788445,18599968,277197184,64479836,malware
2587186,11587386,716889,1615765,14469235,624153,17762861,677465,164079173,17797592,740834,17797592,1496157,63624234,2880187,268137458,763757,18222392,272572981,64838481,malware
2682174,10877402,733035,1730605,13693326,690452,17980544,673478,166605550,18155968,753596,18155968,1465675,61694329,2799242,279612307,792619,18637363,280251731,64614512,malware
2785453,10701314,733544,1664734,14133777,654929,17803789,683658,163483552,17756422,733846,17756422,1490042,63402982,2864023,287085367,792561,18542718,270326719,64562641,malware
2728465,10556367,720335,2757001,10637504,1291323,17770701,664801,156899572,18103030,753073,18103030,1484098,62558600,2831567,273882713,789203,18538754,262988508,63358937,malware
2783983,10972855,735666,2828594,10862753,1309605,17848648,684797,159598036,17901059,754195,17901059,1497891,64332689,2912159,272711809,785437,18284232,269211109,64722891,malware
2737880,10575729,727385,2665339,10578748,1245036,17985746,675376,161128579,18115039,751767,18115039,1457170,62160930,2813602,283492693,791286,18756559,287344703,64581799,malware
2648703,11236977,727821,2799398,10996081,1292930,18140514,670620,157118384,17554852,720695,17559368,1480358,64027474,2898174,274754541,785904,18356605,273329804,64499680,malware
2746434,10605595,733591,2693827,10793848,1252073,17802552,682725,160240821,18146903,756526,18142387,1473234,63049440,2851173,281328955,803751,18694328,266726980,63564761,malware
0,0,0,0,0,0,0,0,0,0,0,0,2401,31411,1827,0,0,0,0,0,malware
285039,5988593,64741,294321,5908896,222779,8347402,17279,15357532,8402516,63918,8402516,33917,13178858,279652,45243268,64944,8531807,39954880,25751523,malware
0,0,0,0,0,0,13581,838,202358,0,0,0,1627,20028,1140,0,0,0,0,0,malware
0,0,0,0,0,0,0,0,0,0,0,0,1123,14548,794,405463,925,7453,0,0,malware
335647,5939688,107633,315565,5852383,254508,8361437,17678,17059702,8248047,91532,8248047,60016,13262100,315967,58434419,88156,8233184,59629388,24407650,malware
4188,72833,6076,4782,73051,18153,152732,3404,606417,149213,5849,149213,6249,312888,5952,2404167,4712,126961,2030894,404393,malware
0,0,0,0,0,0,0,0,0,9106,1044,9106,0,0,0,0,0,0,0,0,malware
4389,25969,2915,5019,29326,6434,53263,2834,657813,57479,3189,57479,4127,112804,4207,1297140,2916,51893,1591582,179623,malware
0,0,0,524,1417,307,4123,265,147713,3817,423,3817,835,10141,585,296617,403,3754,259191,22603,malware
3867,22046,2507,4783,27472,6419,47398,2812,439941,51547,2982,51547,4273,112514,4111,1400646,2832,52697,1278362,146520,malware
5489,28415,4029,4274,25198,5731,49415,2752,462904,47452,2392,47452,4664,114472,4424,1373614,2991,54848,1316916,153265,malware
4113,23534,2888,3894,23640,5528,55976,2892,504361,46583,2404,46583,4093,105647,4014,1327765,2534,46749,1213679,141033,malware
3844,22621,2502,3906,24382,5519,49367,2734,430448,45723,2229,45723,4208,113947,4311,1131262,3177,54737,1033066,140320,malware
625315,201757638,3272657,549434,202777717,158573,751127141,61382,714862069,805759149,3353572,805814603,1045188,1259065652,590078,2837581045,3437080,822654966,2456533737,4228188434,malware
676380,186652101,3015808,582657,198107892,164852,680708656,36068,637198890,758626832,3197756,758613012,915985,1223769632,606306,2817593231,3157753,770352828,2782848484,4749128193,malware
